Basis,Method,X,Angle,Energy,nab,nai,nij
dz,mp3d,1.2,15,-0.04315363015413673,1624,690,148
dz,mp2a,1.2,14,-2.1326986705045643,1617,683,147
dz,mp2b,1.2,14,-2.170185488686936,1617,683,147
dz,mp3b,1.2,14,-0.02732132394920425,1617,683,147
dz,mp3d,1.2,14,-0.044073594891652496,1617,683,147
dz,mp2a,1.2,13,-2.1336415465441254,1617,688,147
dz,mp2b,1.2,13,-2.1709196940604882,1617,688,147
dz,mp3b,1.2,13,-0.02838957780592566,1617,688,147
dz,mp3d,1.2,13,-0.04514974487129744,1617,688,147
dz,mp2a,1.2,12,-2.133912869598488,1626,683,146
dz,mp2b,1.2,12,-2.1712291692039076,1626,683,146
dz,mp3b,1.2,12,-0.029162705421348967,1626,683,146
dz,mp3d,1.2,12,-0.045971009100519045,1626,683,146
dz,mp2a,1.2,11,-2.133180295534715,1616,681,145
dz,mp2b,1.2,11,-2.170599068919787,1616,681,145
dz,mp3b,1.2,11,-0.029809888781761718,1616,681,145
dz,mp3d,1.2,11,-0.046603963623297884,1616,681,145
dz,mp2a,1.2,10,-2.135743094460727,1633,690,144
dz,mp2b,1.2,10,-2.1729813292307845,1633,690,144
dz,mp3b,1.2,10,-0.02959971177429005,1633,690,144
dz,mp3d,1.2,10,-0.046218560950925136,1633,690,144
dz,mp2a,1.2,9,-2.131704554476664,1628,687,147
dz,mp2b,1.2,9,-2.168732690048833,1628,687,147
dz,mp3b,1.2,9,-0.02998428286415014,1628,687,147
dz,mp3d,1.2,9,-0.04661896361203921,1628,687,147
dz,mp2a,1.2,8,-2.132264734617833,1629,685,146
dz,mp2b,1.2,8,-2.1693376117263323,1629,685,146
dz,mp3b,1.2,8,-0.029485655391424753,1629,685,146
dz,mp3d,1.2,8,-0.046043544378779416,1629,685,146
dz,mp2a,1.2,7,-2.128732199317028,1618,687,145
dz,mp2b,1.2,7,-2.166184626654423,1618,687,145
dz,mp3b,1.2,7,-0.031322312345356984,1618,687,145
dz,mp3d,1.2,7,-0.04790073863595068,1618,687,145
dz,mp2a,1.2,6,-2.134578606945558,1627,689,147
dz,mp2b,1.2,6,-2.1717355349008476,1627,689,147
dz,mp3b,1.2,6,-0.028422254070160996,1627,689,147
dz,mp3d,1.2,6,-0.04497285184346239,1627,689,147
dz,mp2a,1.2,5,-2.123458138424026,1611,684,147
dz,mp2b,1.2,5,-2.160559770814514,1611,684,147
dz,mp3b,1.2,5,-0.031175377856805075,1611,684,147
dz,mp3d,1.2,5,-0.047696373977304224,1611,684,147
dz,mp2a,1.2,4,-2.1313927792080922,1632,683,146
dz,mp2b,1.2,4,-2.168773456081425,1632,683,146
dz,mp3b,1.2,4,-0.02844640128548434,1632,683,146
dz,mp3d,1.2,4,-0.04504564973432082,1632,683,146
dz,mp2a,1.2,3,-2.1247721598743396,1616,688,148
dz,mp2b,1.2,3,-2.162012588096556,1616,688,148
dz,mp3b,1.2,3,-0.031604272711419135,1616,688,148
dz,mp3d,1.2,3,-0.04813770741928444,1616,688,148
dz,mp2a,1.2,2,-2.1311198844773265,1624,685,147
dz,mp2b,1.2,2,-2.1689565120804106,1624,685,147
dz,mp3b,1.2,2,-0.027644730988522437,1624,685,147
dz,mp3d,1.2,2,-0.044221961671355975,1624,685,147
dz,mp2a,1.2,1,-2.136388999311355,1625,685,149
dz,mp2b,1.2,1,-2.1743494746422765,1625,685,149
dz,mp3b,1.2,1,-0.026206690804854105,1625,685,149
dz,mp3d,1.2,1,-0.042859206189243604,1625,685,149
dz,mp2a,1.2,16,-2.1426726674049066,1619,688,149
dz,mp2b,1.2,16,-2.1807882817774487,1619,688,149
dz,mp3b,1.2,16,-0.026776844678179867,1619,688,149
dz,mp3d,1.2,16,-0.04326714656412717,1619,688,149
dz,mp2a,1.2,17,-2.142055239937006,1623,687,149
dz,mp2b,1.2,17,-2.1798946887847146,1623,687,149
dz,mp3b,1.2,17,-0.027969388004910722,1623,687,149
dz,mp3d,1.2,17,-0.044471542138843356,1623,687,149
dz,mp2a,1.2,18,-2.1421758952618255,1621,690,147
dz,mp2b,1.2,18,-2.180201711586057,1621,690,147
dz,mp3b,1.2,18,-0.029385238974154015,1621,690,147
dz,mp3d,1.2,18,-0.04612748386895027,1621,690,147
dz,mp2a,1.2,19,-2.1464544119691267,1627,692,150
dz,mp2b,1.2,19,-2.184426709835157,1627,692,150
dz,mp3b,1.2,19,-0.02759357977644944,1627,692,150
dz,mp3d,1.2,19,-0.044404791922357884,1627,692,150
dz,mp2a,1.2,20,-2.1418842605172728,1618,690,150
dz,mp2b,1.2,20,-2.179472172543205,1618,690,150
dz,mp3b,1.2,20,-0.03055932354590879,1618,690,150
dz,mp3d,1.2,20,-0.04713367336386859,1618,690,150
dz,mp2a,1.2,21,-2.146387411725989,1626,691,149
dz,mp2b,1.2,21,-2.184305590536396,1626,691,149
dz,mp3b,1.2,21,-0.02813217913225094,1626,691,149
dz,mp3d,1.2,21,-0.04481608431645184,1626,691,149
dz,mp2a,1.2,22,-2.1398595641110765,1633,690,149
dz,mp2b,1.2,22,-2.177562261155213,1633,690,149
dz,mp3b,1.2,22,-0.03104695776708502,1633,690,149
dz,mp3d,1.2,22,-0.04772755200345574,1633,690,149
dz,mp2a,1.2,23,-2.145556473130893,1633,690,149
dz,mp2b,1.2,23,-2.18339456365353,1633,690,149
dz,mp3b,1.2,23,-0.028986502475444847,1633,690,149
dz,mp3d,1.2,23,-0.04574101662369734,1633,690,149
dz,mp2a,1.2,24,-2.141619269198827,1621,689,151
dz,mp2b,1.2,24,-2.1794305877227784,1621,689,151
dz,mp3b,1.2,24,-0.030422097840850704,1621,689,151
dz,mp3d,1.2,24,-0.04703100732955659,1621,689,151
dz,mp2a,1.2,25,-2.1435921512867253,1627,685,149
dz,mp2b,1.2,25,-2.181448673621897,1627,685,149
dz,mp3b,1.2,25,-0.029335525386046307,1627,685,149
dz,mp3d,1.2,25,-0.04603021282814604,1627,685,149
